ticker,name,sector,industry,description,source
ADOR,Ador Welding Ltd,Industrials,Specialty Industrial Machinery,"Ador Welding Ltd is a leading player in the field of Welding Products, Technologies and Services. It is also engaged in providing customized solutions for multi-disciplinary projects and contracts related to refineries, oil and gas, petrochemicals and other sectors.",screener
ADROITINFO,Adroit Infotech Ltd,Technology,Information Technology Services,"Incorporated in 1990, Adroit Infotech Ltd is a specialist SAP Consulting company.",screener
ADSL,Allied Digital Services Ltd,Technology,Information Technology Services,"Incorporated in 1984, Allied Digital Services Ltd provides a wide range of information technology and consultancy services",screener
ADVAIT,Advait Energy Transitions Limited,Industrials,Specialty Industrial Machinery,"Advait Energy Transitions Limited (formerly known as, Advait Infratech Limited) established in 2009 and headquartered in Gujarat, is a global leader in end-to-end solutions for power transmission, substations, and telecommunication infrastructure. Advait's core capabilities include the manufacturing and supply of Stringing Tools, ACS Wires, OPGW Cables, ERS, Optical Fibre Cables, and a comprehensive range of insulators. The company has delivered complex EPC projects, including live-line OPGW installations, underground cabling, and integration of MVCC and HT AB cables, demonstrating its end-to-end project execution capabilities. In 2023, Advait expanded into the renewable energy domain, undertaking projects in Green Hydrogen and Solar Power integration.",screener
ADVANCE,Advance Agrolife Ltd,Basic Materials,Agricultural Inputs,Advance Agrolife is engaged in the business of manufacturing and distributor of broad spectrum of technical and formulated grade of agrochemicals.(Source : 202503 Annual Report Page No:33),screener
ADVANIHOTR,Advani Hotels & Resorts (India) Ltd,Consumer Cyclical,Lodging,"Incorporated in 1987, Advani Hotels and Resorts India Ltd is in the business of hoteliering",screener
ADVENTHTL,Advent Hotels International Ltd,Consumer Cyclical,Lodging,"Advent Hotels International Limited is an Indian hospitality company that creates, owns, and manages luxury and upper‑upscale hotels in prime micro‑markets.",screener
ADVENZYMES,Advanced Enzyme Technologies Ltd,Basic Materials,Specialty Chemicals,Advanced Enzyme Technologies Limited is engaged in the business of manufacturing and sales of enzymes.,screener
AEGISLOG,Aegis Logistics Ltd,Energy,Oil & Gas Refining & Marketing,"Aegis Logistics (Formely known as Aegis Chemical Industries Ltd.), incorporated in 1956 provide logistic solutions for oil, gas, chemicals, and petrochemical industries.",screener
AEGISVOPAK,Aegis Vopak Terminals Ltd,Energy,Oil & Gas Equipment & Services,"Incorporated in 2013, Aegis Vopak Terminals owns and operates storage terminals for liquefied petroleum gas (LPG) and various liquid products.",screener
AEPL,Artemis Electricals & Projects Ltd,Industrials,Electrical Equipment & Parts,"Incorporated in 2009, Artemis Electricals and Projects Ltd maufectures LED lights and deals in work contracts",screener
AEQUS,Aequs Ltd,Industrials,Aerospace & Defense,"Founded in 2000, Aequs focuses on high-precision, high-complexity components and assemblies for global OEMs and Tier-1 suppliers, especially in civil aviation.",screener
AEROENTER,Aeroflex Enterprises Ltd,Basic Materials,Steel,"Incorporated in 1985, Aeroflex Enterprises Ltd, is in the business of general trading of merchandise, manufacturing of goods, leasing of assets, and financing",screener
AEROFLEX,Aeroflex Industries Ltd,Industrials,Metal Fabrication,"Incorporated in 1993, Aeroflex Industries Limited, manufactures and supplies environment-friendly metallic flexible flow solution products.",screener
AERONEU,Aeroflex Neu Ltd,Consumer Cyclical,Packaging & Containers,"Incorporated in 1992, Sah Polymers Ltd does manufacturing and marketing of FIBC and other flexible packaging products",screener
AETHER,Aether Industries Ltd,Basic Materials,Specialty Chemicals,"Incorporated in 2013, Aether Industries Limited is a manufacturer of specialty chemicals. The company is sole Indian manufacturer for chemicals such as 4-(2-Methoxyethyl) Phenol (4MEP), and 3-Methoxy-2-Methylbenzoyl Chloride (MMBC), Thiophene-2-Ethanol (T2E), Ortho Tolyl Benzo Nitrile (OTBN), N-Octyl-D-Glucamine, Delta-Valerolactone, and Bifenthrin Alcohol.",screener
AFCONS,Afcons Infrastructure Ltd,Industrials,Engineering & Construction,"Incorporated in 1959, Afcons Infrastructure Limited is an infrastructure engineering and construction company.",screener
AFFLE,Affle 3i Ltd,Communication Services,Advertising Agencies,"Incorporated in 1994, Affle is a global technology company with a proprietary consumer intelligence platform that transforms ads into recommendations helping marketers to effectively identify, engage, acquire and drive transactions with their potential and existing users",screener
AFFORDABLE,Affordable Robotic & Automation Ltd,Industrials,Specialty Industrial Machinery,"Incorporated in 2009, Affordable Robotic & Automation Ltd is a Turnkey Automation Solution provider for all kind of Industrial Automation",screener
AFIL,Akme Fintrade (India) Ltd,Financial Services,Credit Services,"Incorporated in 1996, Akme Fintrade (India) Ltd provides specialized retail financing services to the lower-income and middle-income groups",screener
AFSL,Abans Financial Services Ltd,Financial Services,Capital Markets,"Incorporated in 2009, Abans Financial Services Ltd provides services such as Institutional Broking, Asset Management, Financial Lending, Treasury operations, and Remittance Services",screener
AGARIND,Agarwal Industrial Corporation Ltd,Basic Materials,Specialty Chemicals,"Agarwal Industrial Corporation Ltd is primarily engaged in the business activities of manufacturing and trading of Petrochemicals (Bitumen and Bituminous Products), logistics of bitumen and liquefied Petroleum Gas and energy generation through Wind Mills.",screener
AGARWALEYE,Dr Agarwals Health Care Ltd,Healthcare,Medical Instruments & Supplies,"Incorporated in 2010,Dr. Agarwal’s Health Care offers a wide array of eye care services, which include cataract and refractive surgeries, consultations, diagnoses, and non-surgical treatments. Additionally, they provide optical products, contact lenses, accessories, and pharmaceutical items related to eye care.",screener
AGI,AGI Greenpac Ltd,Consumer Cyclical,Packaging & Containers,"Incorporated in 1960, AGI Greenpac Ltd manufactures and sells Container Glass bottles, PET bottles and Security Caps and Closures under Packaging Products segment",screener
AGIIL,AGI Infra Ltd,Real Estate,Real Estate - Development,"Incorporated in 2005, AGI Infra Ltd is in the business of Real Estate and Construction Services",screener
AGRITECH,Agri-Tech (India) Ltd,Consumer Defensive,Farm Products,"Incorporated in 1993, Agri-Tech India Ltd is into a production of horticulture crops",screener
AGROPHOS,Agro Phos India Ltd,Basic Materials,Agricultural Inputs,"Incorporated in 2002, Agro Phos India Ltd does manufacturing & trading of fertilizers.",screener
AHCL,Anlon Healthcare Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"Incorporated in 2013, Anlon Healthcare Limited is a chemical manufacturing company engaged in the manufacturing of Pharma Intermediates and active pharmaceutical ingredients (APIs).",screener
AHLADA,Ahlada Engineers Ltd,Industrials,Building Products & Equipment,"Incorporated in 2005, Ahlada Engineers Ltd manufactures steel doors, windows, and clean room equipment.",screener
AHLEAST,Asian Hotels (East) Ltd,Consumer Cyclical,Lodging,"Incorporated in 2007, Asian Hotels (East) Ltd is operating through Hyatt Regency Kolkata, a five-star Hotel in Kolkata",screener
AHLUCONT,Ahluwalia Contracts (India) Ltd,Industrials,Engineering & Construction,"Company is engaged in engineering and contract construction, delivering state of-the-art infrastructure and buildings projects for clients in India.",screener
AHLWEST,Asian Hotels (West) Ltd,Consumer Cyclical,Lodging,"AHWL was incorporated in 2007, pursuant to a demerger from Asian Hotels Limited, and the Hyatt Regency Mumbai property was vested in the Company.",screener
AIAENG,AIA Engineering Ltd,Industrials,Specialty Industrial Machinery,"AIA manufactures high-chrome grinding media, liners and diaphragms, collectively known as mill internals. These are used for crushing and grinding operations in the cement, power utility & aggregates and mining industries.",screener
AIIL,Authum Investment & Infrastructure Ltd,Financial Services,Capital Markets,"Authum Investment & Infrastructure Limited is engaged in the business of fund-based activities viz, investment in shares, securities, mutual funds etc. and providing loans and advances, etc.",screener
AIRAN,Airan Ltd,Technology,Information Technology Services,"Incorporated in 1995, Airan Ltd provides consulting, technology, outsourcing, and next generation digital services & softwares",screener
AIROLAM,Airo Lam Ltd,Consumer Cyclical,"Furnishings, Fixtures & Appliances","Incorporated in 2008, Airolam Ltd is in the business of production, processing and marketing of decorative laminate and plywood",screener
AJANTPHARM,Ajanta Pharma Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"Ajanta Pharma is primarily engaged in development, manufacturing and marketing of speciality pharmaceutical quality finished dosages.(Source : 202003-01 Annual Report Page No:70).",screener
AJAXENGG,Ajax Engineering Ltd,Industrials,Farm & Heavy Construction Machinery,"Incorporated in July 1992, Ajax Engineering Limited manufactures a wide range of concrete equipment and services across the value chain.",screener
AJMERA,Ajmera Realty & Infra India Ltd,Real Estate,Real Estate - Development,"Incorporated in 1985, Ajmera Realty and Infra Limited (ARIIL) is in the business of providing residential and rented commercial properties. The company has a presence in the cities like Mumbai, Bengaluru, Ahmedabad in India as well as in foreign countries such as Bahrain and UK",screener
AJOONI,Ajooni Biotech Ltd,Consumer Defensive,Packaged Foods,"Incorporated in 2010, Ajooni Biotech Ltd is a PURE VEG. animal health care solutions company. It is a significant player in the animal feed and aquaculture sectors.",screener
AKASH,Akash Infraprojects Ltd,Industrials,Engineering & Construction,"Incorporated in 1999, Akash Infra- Projects Ltd deals in construction of roads and trading of lubricants",screener
AKCAPIT,A.K.Capital Services Ltd,,,"Incorporated in 1993, A. K. Capital Services Ltd is a SEBI Registered Category I Merchant Banker",screener
AKG,AKG Exim Ltd,Industrials,Industrial Distribution,"Incorporated in 2005, AKG Exim Ltd in the business of Metals Scrap, Rice, Spices & Dry Fruits",screener
AKI,AKI India Ltd,Consumer Cyclical,Footwear & Accessories,"Incorporated in 1994, AKI India Ltd designs, manufactures and exports leather products",screener
AKSHAR,Akshar Spintex Ltd,Consumer Cyclical,Textile Manufacturing,"Incorporated in 2013, Akshar Spintex Ltd is in the business of manufacturing and trading cotton yarns.",screener
AKSHARCHEM,AksharChem (India) Ltd,Basic Materials,Specialty Chemicals,"Incorporated in 1989, Aksharchem (India) Ltd manufactures & exports Dyes Pigments and Precipitated Silica",screener
AKSHOPTFBR,Aksh Optifibre Ltd,Technology,Communication Equipment,"Incorporated in 1986, Aksh Optifibre Ltd does manufacturing and selling of Optical Fibre, Optical Fibre Cable, Fibre Reinforced Plastic Rods, Impregnated Glass Roving Reinforcement and ophthalmic lens. It also provides E Governance and FTTH services",screener
AKUMS,Akums Drugs & Pharmaceuticals Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"Established in 2004, Akums Drugs and Pharmaceuticals Limited is a pharmaceutical contract development and manufacturing organization (CDMO) offering a comprehensive range of pharmaceutical products and services.",screener
ALANKIT,Alankit Ltd,Technology,Information Technology Services,"Incorporated in 1989, Alankit Ltd is in the business of e-Governance services & products trading, and ancillary services related to e-Governance business",screener
ALBERTDAVD,Albert David Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"Incorporated in 1938, Albert David Ltd is in the business of manufacturing pharmaceutical products",screener
ALEMBICLTD,Alembic Ltd,Real Estate,Real Estate - Development,"Alembic Limited is engaged in the businesses of Pharmaceuticals, Real Estate, and Power Assets. The company was started in 1907 as the flagship company of the Alembic Group. In 2010, the company demerged its core pharmaceutical business (formulations) into a wholly-owned subsidiary, Alembic Pharma Ltd and after the demerger, APL became the flagship company of the Alembic Group. With its registered office in Vadodra, Alembic Ltd currently holds a 28.41% stake in Alembic Pharma Ltd and a 19.01% stake in another group entity Paushak Limited.",screener
ALGOQUANT,Algoquant Fintech Ltd,Financial Services,Capital Markets,"Incorporated in 1983, Algoquant Fintech Ltd is in the business of trading in financial instruments",screener
ALICON,Alicon Castalloy Ltd,Industrials,Metal Fabrication,"Alicon Castalloy manufactures aluminium castings including cylinder heads, support brackets, intake manifolds, crankshafts, and engine brackets for the auto industry. It has a presence in 18 countries and is a part of Alicon Group. The co. was established as Enkei Castalloy Ltd, a joint venture between Pegasus Castalloy Ltd and Enkei Corporation (now Alicon Castalloy), in Japan; one of the largest manufacturers of alloy wheels in the world.",screener
ALIVUS,Alivus Life Sciences Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"Glenmark Life Sciences, a subsidiary of Nirma Limited, a diversified conglomerate with interest in consumer products, cement, chemicals and pharmaceuticals. It is a leading developer and manufacturer of select, high-value, non-commoditized, active pharmaceutical ingredients (APIs) in chronic therapeutic areas. The company further operates in Contract Development and manufacturing operations to offer services to specialty Pharmaceutical companies.",screener
ALKALI,Alkali Metals Ltd,Basic Materials,Specialty Chemicals,"Incorporated in 1968, Alkali Metals Ltd is a manufacturer of Sodium Derivatives, Pyridine Derivatives, Fine Chemicals and APIs etc.",screener
ALKEM,Alkem Laboratories Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"Alkem Laboratories is engaged in pharmaceutical business with global operations. The Company is engaged in the development, manufacture and sale of pharmaceutical and nutraceutical products.(Source : 202003-01 Annual Report Page No:107)",screener
ALKYLAMINE,Alkyl Amines Chemicals Ltd,Basic Materials,Specialty Chemicals,"Incorporated in 1979 by Mr Yogesh Kothari, Alkyl Amines is a leading manufacturer of aliphatic amines in India. Aliphatic amines are products derived from Ammonia (NH3) by displacement of H2 in the Ammonia molecule by other radicals (R) such as Methyl, Ethyl and Propyl.",screener
ALLCARGO,Allcargo Logistics Ltd,Industrials,Integrated Freight & Logistics,"Incorporated in 1993, Allcargo Logistics provides integrated logistics solutions and offers specialized logistics services across multimodal transport operations, inland container depot, container freight station operations, contract logistics operations and project and engineering solutions",screener
ALLDIGI,Alldigi Tech Ltd,Industrials,Specialty Business Services,"Incorporated in 1998, Allsec Tech is a global leader in outsourcing solutions offering future-ready, resilient business transformation services to industry heavy-weights, Fortune 100 companies, and growth-focused organizations. The services provided by the Company include data verification, processing of orders received through telephone calls, telemarketing, monitoring quality of calls of other call centers, customer services and HR and payroll processing. The Company has delivery centers at Chennai, Bengaluru and NCR. With 4,000+ FTEs spread across 5 contact centers in the US, Philippines, and India, the company manages over 1 Million customer contacts per day, via multiple touchpoints.",screener
ALLTIME,All Time Plastics Ltd,Consumer Defensive,Household & Personal Products,"Incorporated in 1971, All Time Plastics Ltd manufactures and exports plastic houseware products",screener
ALMONDZ,Almondz Global Securities Ltd,Financial Services,Capital Markets,"Incorporated in 1994, Almondz Global Securities Ltd provides financial advisory and consultancy services",screener
ALOKINDS,Alok Industries Ltd,Consumer Cyclical,Textile Manufacturing,"Alok Industries is a textile company with a presence in the cotton and polyester segments. The Company is engaged in manufacturing of textile, including mending and packing activities; leather and other apparel products.",screener
ALPA,Alpa Laboratories Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"Incorporated in 1988, Alpa Laboratories Ltd manufactures and sells Drugs and Chemicals",screener
ALPHAGEO,Alphageo (India) Ltd,Energy,Oil & Gas Equipment & Services,"Incorporated in 1987, Alphageo Ltd provides Geophysical Seismic Data Acquisition, Processing and Interpretation Services for exploration of hydrocarbons and minerals",screener
AMAGI,Amagi Media Labs Ltd,Technology,Software - Application,"Founded in 2008, Amagi Media Labs Ltd. is engaged in cloud-based broadcast and connected TV technology.",screener
AMANTA,Amanta Healthcare Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"Incorporated in December 1994, Amanta Healthcare Limited is a pharmaceutical company that specializes in the development, manufacturing, and marketing of a diverse array of sterile liquid products.",screener
AMBALALSA,Ambalal Sarabhai Enterprises Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,"Incorporated in 1977, Ambalal Sarabhai Enterprises Ltd is in the business of manufacturing Pharmaceuticals and Electronics",screener
